Fold,LSTM_AUC,BiLSTM_AUC,LSTM_Accuracy,LSTM_Precision,LSTM_Recall,LSTM_F1,BiLSTM_Accuracy,BiLSTM_Precision,BiLSTM_Recall,BiLSTM_F1
1,0.987006578882392,0.9924595491373736,0.9575738529226901,0.9449877750611247,0.9717159019484601,0.9581654787728541,0.9682589566310497,0.9604449938195303,0.9767441860465116,0.9685260205671549
2,0.9860357265748054,0.9920654798894315,0.9516027655562539,0.9383770591824283,0.9666876178504086,0.9523219814241486,0.9622878692646134,0.960551033187226,0.9641734758013828,0.9623588456712673
3,0.98118679830489,0.98838196944551,0.9494028912633564,0.9391891891891891,0.9610307982401005,0.9499844672258465,0.957259585166562,0.943327239488117,0.972972972972973,0.9579207920792079
4,0.9832764517254307,0.9914051422975166,0.9396605908233815,0.9568909209666885,0.9208045254556882,0.9385009609224856,0.9638592080452546,0.9572490706319703,0.9710873664362036,0.9641185647425897
5,0.9844059944103823,0.9906393668789456,0.9512731845331657,0.9314903846153846,0.9742300439974858,0.9523809523809523,0.9629047469349261,0.9521178637200737,0.9748585795097423,0.9633540372670808
6,0.9830498993947876,0.9904347963584471,0.9468720528135807,0.9671484888304862,0.9252042740414833,0.9457115322839704,0.9603898145237346,0.955818294959552,0.9654305468258957,0.9606003752345216
7,0.9868592594349507,0.989732931703094,0.9531593838415593,0.9574873096446701,0.9484600879949717,0.9529523208083359,0.9572461490097454,0.9444105070250458,0.9717159019484601,0.9578686493184635
8,0.9834088366558749,0.9903928939909634,0.9509588179817667,0.9388004895960832,0.9647798742138365,0.9516129032258065,0.9654196793461176,0.9689480354879595,0.9616352201257862,0.9652777777777778
9,0.9799076171388588,0.9906075447979792,0.9487582521219742,0.9321623258631133,0.9679245283018868,0.9497068805924097,0.9616472807293304,0.9604767879548306,0.9628930817610063,0.9616834170854272
10,0.981713371994197,0.9890002332301586,0.9481295190191764,0.9373848987108656,0.960377358490566,0.9487418452935694,0.9616472807293304,0.9633838383838383,0.959748427672956,0.9615626969124134
