Fold,LSTM_AUC,BiLSTM_AUC,AUC_Difference
1,0.987006578882392,0.9924595491373736,0.005452970254981593
2,0.9860357265748054,0.9920654798894315,0.006029753314626074
3,0.98118679830489,0.98838196944551,0.007195171140620071
4,0.9832764517254307,0.9914051422975166,0.008128690572085984
5,0.9844059944103823,0.9906393668789456,0.0062333724685632586
6,0.9830498993947876,0.9904347963584471,0.007384896963659515
7,0.9868592594349507,0.989732931703094,0.002873672268143279
8,0.9834088366558749,0.9903928939909634,0.006984057335088556
9,0.9799076171388588,0.9906075447979792,0.010699927659120423
10,0.981713371994197,0.9890002332301586,0.0072868612359616725
